,DATE,WEEK,COUNTRY,size
614,22/08/2021,35,United Arab Emirates,19
633,23/08/2021,35,Colombia,18
989,27/08/2021,35,Peru,18
1042,28/08/2021,35,India,18
1087,29/08/2021,36,Argentina,18
1147,29/08/2021,36,Poland,18
905,26/08/2021,35,Peru,18
459,20/08/2021,34,United Arab Emirates,18
329,19/08/2021,34,Ecuador,18
225,16/08/2021,34,Australia,18
1273,31/08/2021,36,Mexico,17
687,23/08/2021,35,South Africa,17
885,26/08/2021,35,Lebanon,17
311,19/08/2021,34,Belgium,17
581,22/08/2021,35,"Korea, Republic of",17
214,15/08/2021,34,Spain,17
559,22/08/2021,35,Ecuador,17
1077,28/08/2021,35,Switzerland,16
1072,28/08/2021,35,Saudi Arabia,16
1195,30/08/2021,36,India,16
393,20/08/2021,34,Belgium,16
747,24/08/2021,35,Peru,16
940,27/08/2021,35,Brazil,16
1219,30/08/2021,36,Peru,16
78,08/08/2021,33,Australia,16
664,23/08/2021,35,Kuwait,16
864,26/08/2021,35,Finland,16
813,25/08/2021,35,Poland,16
1167,30/08/2021,36,Argentina,16
854,26/08/2021,35,Costa Rica,16
777,25/08/2021,35,Colombia,16
883,26/08/2021,35,Kuwait,16
206,15/08/2021,34,Poland,16
630,23/08/2021,35,Brazil,15
1094,29/08/2021,36,Belgium,15
800,25/08/2021,35,Mexico,15
617,22/08/2021,35,Uruguay,15
201,15/08/2021,34,Mexico,15
869,26/08/2021,35,Guatemala,15
732,24/08/2021,35,Italy,15
1046,28/08/2021,35,Italy,15
1160,29/08/2021,36,Turkey,14
1252,31/08/2021,36,Chile,14
74,07/08/2021,32,Sweden,14
1146,29/08/2021,36,Peru,14
1121,29/08/2021,36,India,14
479,21/08/2021,34,Colombia,14
368,19/08/2021,34,Portugal,14
87,08/08/2021,33,Sweden,14
533,21/08/2021,34,United Arab Emirates,14
1074,28/08/2021,35,South Africa,14
841,26/08/2021,35,Belgium,14
739,24/08/2021,35,Mexico,14
1005,27/08/2021,35,United Arab Emirates,14
1288,31/08/2021,36,Spain,14
606,22/08/2021,35,South Africa,13
767,25/08/2021,35,Argentina,13
972,27/08/2021,35,Kuwait,13
811,25/08/2021,35,Peru,13
571,22/08/2021,35,India,13
971,27/08/2021,35,"Korea, Republic of",13
1016,28/08/2021,35,Belgium,13
498,21/08/2021,34,Israel,13
1171,30/08/2021,36,Belgium,13
973,27/08/2021,35,Lebanon,13
1129,29/08/2021,36,"Korea, Republic of",13
370,19/08/2021,34,Qatar,13
1261,31/08/2021,36,France,13
237,16/08/2021,34,France,13
966,27/08/2021,35,Israel,13
425,20/08/2021,34,"Korea, Republic of",13
68,07/08/2021,32,Australia,13
13,02/08/2021,32,Germany,13
387,19/08/2021,34,Virgin Islands (U.S.),12
1178,30/08/2021,36,Costa Rica,12
594,22/08/2021,35,Peru,12
597,22/08/2021,35,Portugal,12
931,27/08/2021,35,Argentina,12
937,27/08/2021,35,Belgium,12
476,21/08/2021,34,Brazil,12
1277,31/08/2021,36,New Zealand,12
343,19/08/2021,34,Israel,12
180,15/08/2021,34,Chile,12
18,02/08/2021,32,Sweden,12
773,25/08/2021,35,Brazil,12
457,20/08/2021,34,Turkey,11
365,19/08/2021,34,Peru,11
598,22/08/2021,35,Puerto Rico,11
860,26/08/2021,35,Dominican Republic,11
1281,31/08/2021,36,Peru,11
796,25/08/2021,35,"Korea, Republic of",11
781,25/08/2021,35,Ecuador,11
861,26/08/2021,35,Ecuador,11
1045,28/08/2021,35,Israel,11
699,23/08/2021,35,Uruguay,11
105,10/08/2021,33,Australia,11
1237,30/08/2021,36,United Arab Emirates,11
650,23/08/2021,35,Guatemala,11
163,14/08/2021,33,Lithuania,11
748,24/08/2021,35,Poland,11
92,09/08/2021,33,Australia,11
396,20/08/2021,34,Brazil,11
539,22/08/2021,35,Argentina,10
502,21/08/2021,34,"Korea, Republic of",10
520,21/08/2021,34,Puerto Rico,10
484,21/08/2021,34,Ecuador,10
441,20/08/2021,34,Peru,10
420,20/08/2021,34,Israel,10
418,20/08/2021,34,India,10
575,22/08/2021,35,Israel,10
363,19/08/2021,34,Panama,10
831,25/08/2021,35,Uruguay,10
663,23/08/2021,35,"Korea, Republic of",10
287,18/08/2021,34,Australia,10
947,27/08/2021,35,Costa Rica,10
339,19/08/2021,34,Hungary,10
249,16/08/2021,34,Norway,10
1050,28/08/2021,35,Kuwait,10
373,19/08/2021,34,Singapore,10
759,24/08/2021,35,Switzerland,10
868,26/08/2021,35,Greece,10
762,24/08/2021,35,United Arab Emirates,10
129,12/08/2021,33,Australia,10
641,23/08/2021,35,Dominican Republic,10
1149,29/08/2021,36,Puerto Rico,10
203,15/08/2021,34,New Zealand,10
347,19/08/2021,34,"Korea, Republic of",10
257,16/08/2021,34,Spain,10
642,23/08/2021,35,Ecuador,10
525,21/08/2021,34,South Africa,9
1021,28/08/2021,35,Colombia,9
1064,28/08/2021,35,Peru,9
21,03/08/2021,32,Australia,9
515,21/08/2021,34,Paraguay,9
450,20/08/2021,34,Singapore,9
992,27/08/2021,35,Puerto Rico,9
856,26/08/2021,35,Cyprus,9
624,23/08/2021,35,Argentina,9
309,19/08/2021,34,Austria,9
716,24/08/2021,35,Ecuador,9
542,22/08/2021,35,Austria,9
1125,29/08/2021,36,Israel,9
1177,30/08/2021,36,Colombia,9
402,20/08/2021,34,Costa Rica,9
915,26/08/2021,35,Singapore,9
1148,29/08/2021,36,Portugal,9
1229,30/08/2021,36,South Africa,9
545,22/08/2021,35,Belgium,9
902,26/08/2021,35,Pakistan,9
64,06/08/2021,32,Sweden,9
680,23/08/2021,35,Puerto Rico,9
158,14/08/2021,33,Brazil,9
1105,29/08/2021,36,Colombia,9
547,22/08/2021,35,Brazil,9
1293,31/08/2021,36,United Arab Emirates,8
495,21/08/2021,34,India,8
903,26/08/2021,35,Panama,8
837,26/08/2021,35,Austria,8
1282,31/08/2021,36,Poland,8
1204,30/08/2021,36,Kuwait,8
820,25/08/2021,35,South Africa,8
1265,31/08/2021,36,India,8
719,24/08/2021,35,Finland,8
1079,28/08/2021,35,Turkey,8
1253,31/08/2021,36,Colombia,8
686,23/08/2021,35,Singapore,8
669,23/08/2021,35,Netherlands,8
665,23/08/2021,35,Lebanon,8
1223,30/08/2021,36,Puerto Rico,8
634,23/08/2021,35,Costa Rica,8
1170,30/08/2021,36,Austria,8
926,26/08/2021,35,Uruguay,8
0,01/08/2021,32,Australia,8
392,20/08/2021,34,Austria,8
280,17/08/2021,34,Poland,8
141,13/08/2021,33,Australia,8
246,16/08/2021,34,Mexico,8
51,05/08/2021,32,Sweden,8
356,19/08/2021,34,Netherlands,8
371,19/08/2021,34,Russian Federation,8
157,14/08/2021,33,Australia,8
706,24/08/2021,35,Bolivia (Plurinational State of),7
401,20/08/2021,34,Colombia,7
835,26/08/2021,35,Aruba,7
815,25/08/2021,35,Puerto Rico,7
636,23/08/2021,35,Cyprus,7
1013,28/08/2021,35,Argentina,7
1055,28/08/2021,35,Morocco,7
332,19/08/2021,34,Estonia,7
1015,28/08/2021,35,Austria,7
999,27/08/2021,35,South Africa,7
863,26/08/2021,35,El Salvador,7
1018,28/08/2021,35,Brazil,7
333,19/08/2021,34,Finland,7
1200,30/08/2021,36,Japan,7
934,27/08/2021,35,Austria,7
43,05/08/2021,32,Australia,7
1235,30/08/2021,36,Turkey,7
1068,28/08/2021,35,Puerto Rico,7
536,21/08/2021,34,Uruguay,7
908,26/08/2021,35,Portugal,7
582,22/08/2021,35,Kuwait,7
765,24/08/2021,35,Uruguay,7
601,22/08/2021,35,Russian Federation,7
654,23/08/2021,35,India,7
702,24/08/2021,35,Argentina,7
1112,29/08/2021,36,Ecuador,7
591,22/08/2021,35,Nigeria,7
483,21/08/2021,34,Dominican Republic,7
959,27/08/2021,35,Guatemala,7
353,19/08/2021,34,Malta,7
298,18/08/2021,34,Poland,7
812,25/08/2021,35,Philippines,7
241,16/08/2021,34,Italy,6
445,20/08/2021,34,Puerto Rico,6
675,23/08/2021,35,Panama,6
38,04/08/2021,32,Sweden,6
444,20/08/2021,34,Portugal,6
1099,29/08/2021,36,Brazil,6
269,17/08/2021,34,Canada,6
898,26/08/2021,35,Nicaragua,6
896,26/08/2021,35,Netherlands,6
553,22/08/2021,35,Costa Rica,6
1159,29/08/2021,36,Switzerland,6
174,15/08/2021,34,Belgium,6
920,26/08/2021,35,Trinidad and Tobago,6
270,17/08/2021,34,Chile,6
975,27/08/2021,35,Malta,6
872,26/08/2021,35,Hungary,6
593,22/08/2021,35,Panama,6
289,18/08/2021,34,Chile,6
629,23/08/2021,35,Belgium,6
56,06/08/2021,32,Australia,6
991,27/08/2021,35,Portugal,6
1243,31/08/2021,36,Argentina,6
471,21/08/2021,34,Austria,6
216,15/08/2021,34,Switzerland,6
337,19/08/2021,34,Guatemala,6
328,19/08/2021,34,Dominican Republic,6
1259,31/08/2021,36,Egypt,6
818,25/08/2021,35,Singapore,6
462,20/08/2021,34,Uruguay,6
389,20/08/2021,34,Argentina,6
369,19/08/2021,34,Puerto Rico,6
645,23/08/2021,35,Finland,6
649,23/08/2021,35,Greece,6
791,25/08/2021,35,India,6
355,19/08/2021,34,Morocco,6
322,19/08/2021,34,Costa Rica,6
75,07/08/2021,32,Ukraine,6
453,20/08/2021,34,South Africa,6
196,15/08/2021,34,"Korea, Republic of",6
491,21/08/2021,34,Guatemala,6
336,19/08/2021,34,Greece,6
1078,28/08/2021,35,Trinidad and Tobago,5
219,15/08/2021,34,United Arab Emirates,5
1081,28/08/2021,35,United Arab Emirates,5
689,23/08/2021,35,Sri Lanka,5
652,23/08/2021,35,Hungary,5
1084,28/08/2021,35,Uruguay,5
217,15/08/2021,34,Turkey,5
599,22/08/2021,35,Qatar,5
1035,28/08/2021,35,Guatemala,5
683,23/08/2021,35,Russian Federation,5
911,26/08/2021,35,Russian Federation,5
922,26/08/2021,35,Ukraine,5
406,20/08/2021,34,Ecuador,5
1033,28/08/2021,35,Greece,5
1026,28/08/2021,35,Dominican Republic,5
39,04/08/2021,32,Ukraine,5
929,26/08/2021,35,Zimbabwe,5
928,26/08/2021,35,Virgin Islands (U.S.),5
628,23/08/2021,35,Bahamas,5
251,16/08/2021,34,Poland,5
1008,27/08/2021,35,Uruguay,5
182,15/08/2021,34,Colombia,5
1004,27/08/2021,35,Ukraine,5
210,15/08/2021,34,Russian Federation,5
953,27/08/2021,35,Ecuador,5
604,22/08/2021,35,Singapore,5
60,06/08/2021,32,Germany,5
404,20/08/2021,34,Czechia,5
1092,29/08/2021,36,Bahrain,5
1165,29/08/2021,36,Uruguay,5
1182,30/08/2021,36,Ecuador,5
448,20/08/2021,34,Russian Federation,5
828,25/08/2021,35,United Arab Emirates,5
1203,30/08/2021,36,"Korea, Republic of",5
521,21/08/2021,34,Qatar,5
1206,30/08/2021,36,Luxembourg,5
1215,30/08/2021,36,Nigeria,5
1218,30/08/2021,36,Paraguay,5
330,19/08/2021,34,Egypt,5
1225,30/08/2021,36,Russian Federation,5
297,18/08/2021,34,Norway,5
809,25/08/2021,35,Panama,5
808,25/08/2021,35,Pakistan,5
1258,31/08/2021,36,Ecuador,5
88,08/08/2021,33,Ukraine,5
1267,31/08/2021,36,Israel,5
802,25/08/2021,35,Netherlands,5
1280,31/08/2021,36,Oman,5
783,25/08/2021,35,Finland,5
1174,30/08/2021,36,Brazil,5
980,27/08/2021,35,Netherlands,5
859,26/08/2021,35,Denmark,5
1155,29/08/2021,36,South Africa,5
880,26/08/2021,35,Jordan,5
349,19/08/2021,34,Latvia,5
1132,29/08/2021,36,Lebanon,5
431,20/08/2021,34,Malaysia,5
1133,29/08/2021,36,Luxembourg,5
1118,29/08/2021,36,Guatemala,5
1114,29/08/2021,36,Finland,5
579,22/08/2021,35,Jordan,5
1111,29/08/2021,36,Dominican Republic,5
138,12/08/2021,33,Ukraine,5
12,02/08/2021,32,Australia,5
260,16/08/2021,34,Turkey,5
717,24/08/2021,35,Egypt,5
584,22/08/2021,35,Lebanon,5
704,24/08/2021,35,Austria,5
961,27/08/2021,35,Hungary,4
31,04/08/2021,32,Australia,4
327,19/08/2021,34,Denmark,4
350,19/08/2021,34,Lebanon,4
974,27/08/2021,35,Luxembourg,4
810,25/08/2021,35,Paraguay,4
755,24/08/2021,35,South Africa,4
754,24/08/2021,35,Slovenia,4
780,25/08/2021,35,Denmark,4
233,16/08/2021,34,Costa Rica,4
952,27/08/2021,35,Dominican Republic,4
265,16/08/2021,34,Venezuela (Bolivarian Republic of),4
278,17/08/2021,34,New Zealand,4
279,17/08/2021,34,Norway,4
286,18/08/2021,34,Argentina,4
288,18/08/2021,34,Canada,4
733,24/08/2021,35,Jamaica,4
695,23/08/2021,35,Ukraine,4
737,24/08/2021,35,Kuwait,4
741,24/08/2021,35,Netherlands,4
712,24/08/2021,35,Costa Rica,4
875,26/08/2021,35,Iraq,4
824,25/08/2021,35,Switzerland,4
295,18/08/2021,34,Mexico,4
