,DATE,WEEK,COUNTRY, TRUE_AMOUNT_GBP 
9,01/08/2021,32,Ukraine,906.98
69,07/08/2021,32,Dominican Republic,903.79
742,24/08/2021,35,New Zealand,894.9300000000001
511,21/08/2021,34,New Zealand,894.2
53,05/08/2021,32,United Arab Emirates,891.0
991,27/08/2021,35,Portugal,890.94
834,26/08/2021,35,Argentina,867.5
748,24/08/2021,35,Poland,865.08
844,26/08/2021,35,Brazil,861.27
294,18/08/2021,34,Kuwait,847.19
610,22/08/2021,35,Switzerland,845.77
691,23/08/2021,35,Switzerland,839.71
118,11/08/2021,33,France,808.75
602,22/08/2021,35,Saudi Arabia,805.47
52,05/08/2021,32,Ukraine,793.51
1281,31/08/2021,36,Peru,793.3
372,19/08/2021,34,Saudi Arabia,792.09
228,16/08/2021,34,Canada,789.0600000000001
32,04/08/2021,32,Canada,787.0
383,19/08/2021,34,United Arab Emirates,776.77
107,10/08/2021,33,France,766.06
923,26/08/2021,35,United Arab Emirates,766.03
153,13/08/2021,33,Sweden,764.6700000000001
201,15/08/2021,34,Mexico,759.96
399,20/08/2021,34,Chile,747.88
456,20/08/2021,34,Switzerland,744.99
227,16/08/2021,34,Brazil,736.79
711,24/08/2021,35,Colombia,725.61
1099,29/08/2021,36,Brazil,720.15
4,01/08/2021,32,Romania,703.42
877,26/08/2021,35,Israel,698.8900000000001
528,21/08/2021,34,Switzerland,695.35
739,24/08/2021,35,Mexico,695.0600000000001
1104,29/08/2021,36,Chile,682.52
779,25/08/2021,35,Czechia,681.4399999999999
194,15/08/2021,34,Italy,675.96
1002,27/08/2021,35,Switzerland,674.5600000000001
707,24/08/2021,35,Brazil,673.3
516,21/08/2021,34,Peru,652.82
909,26/08/2021,35,Puerto Rico,646.88
677,23/08/2021,35,Peru,643.9200000000001
1066,28/08/2021,35,Poland,640.81
523,21/08/2021,34,Saudi Arabia,635.0
1221,30/08/2021,36,Poland,633.02
940,27/08/2021,35,Brazil,628.37
597,22/08/2021,35,Portugal,625.68
813,25/08/2021,35,Poland,625.35
449,20/08/2021,34,Saudi Arabia,619.0400000000001
459,20/08/2021,34,United Arab Emirates,618.6700000000001
614,22/08/2021,35,United Arab Emirates,613.8000000000001
732,24/08/2021,35,Italy,611.39
649,23/08/2021,35,Greece,609.7900000000001
131,12/08/2021,33,Hong Kong,605.49
24,03/08/2021,32,Mexico,602.96
794,25/08/2021,35,Italy,599.39
710,24/08/2021,35,Chile,595.86
1080,28/08/2021,35,Ukraine,592.8
142,13/08/2021,33,Canada,590.06
963,27/08/2021,35,India,588.97
1147,29/08/2021,36,Poland,585.29
989,27/08/2021,35,Peru,581.5300000000001
916,26/08/2021,35,South Africa,579.3000000000001
117,11/08/2021,33,Canada,572.06
122,11/08/2021,33,Russian Federation,572.06
123,11/08/2021,33,Saudi Arabia,572.06
1003,27/08/2021,35,Turkey,569.89
767,25/08/2021,35,Argentina,569.6600000000001
1004,27/08/2021,35,Ukraine,569.61
696,23/08/2021,35,United Arab Emirates,566.69
1167,30/08/2021,36,Argentina,563.73
1277,31/08/2021,36,New Zealand,561.67
559,22/08/2021,35,Ecuador,551.83
664,23/08/2021,35,Kuwait,550.35
571,22/08/2021,35,India,548.85
552,22/08/2021,35,Colombia,542.7
852,26/08/2021,35,Colombia,539.9300000000001
931,27/08/2021,35,Argentina,539.22
1273,31/08/2021,36,Mexico,539.22
314,19/08/2021,34,Brazil,536.46
1094,29/08/2021,36,Belgium,530.09
1292,31/08/2021,36,Ukraine,519.85
1161,29/08/2021,36,Ukraine,519.85
1236,30/08/2021,36,Ukraine,519.85
827,25/08/2021,35,Ukraine,519.85
143,13/08/2021,33,Dominican Republic,509.33
1046,28/08/2021,35,Italy,505.55
206,15/08/2021,34,Poland,503.89
65,06/08/2021,32,Ukraine,501.90999999999997
265,16/08/2021,34,Venezuela (Bolivarian Republic of),499.82
1219,30/08/2021,36,Peru,495.38
1087,29/08/2021,36,Argentina,488.67
269,17/08/2021,34,Canada,485.83
82,08/08/2021,33,Mexico,478.84
687,23/08/2021,35,South Africa,477.56000000000006
214,15/08/2021,34,Spain,475.59000000000003
136,12/08/2021,33,South Africa,475.53
864,26/08/2021,35,Finland,472.42
381,19/08/2021,34,Turkey,466.09000000000003
885,26/08/2021,35,Lebanon,462.7
882,26/08/2021,35,"Korea, Republic of",460.84000000000003
633,23/08/2021,35,Colombia,456.75
777,25/08/2021,35,Colombia,454.64
1162,29/08/2021,36,United Arab Emirates,450.90000000000003
376,19/08/2021,34,South Africa,447.1
1020,28/08/2021,35,Chile,444.35
869,26/08/2021,35,Guatemala,444.14000000000004
249,16/08/2021,34,Norway,441.28999999999996
883,26/08/2021,35,Kuwait,433.0
1195,30/08/2021,36,India,429.28000000000003
396,20/08/2021,34,Brazil,429.05
1288,31/08/2021,36,Spain,428.28
1270,31/08/2021,36,Lebanon,421.95
1042,28/08/2021,35,India,419.92
759,24/08/2021,35,Switzerland,418.29
905,26/08/2021,35,Peru,414.42
44,05/08/2021,32,Brazil,413.84
946,27/08/2021,35,Colombia,409.21000000000004
57,06/08/2021,32,Botswana,409.0
